Turma;Aula;n;Avaliador;Notas
C;A1;1;NF;1.17
C;A1;1;NF;3.93
C;A1;1;NF;3.93
C;A1;1;NF;4.27
C;A1;1;NF;2.5
C;A1;1;NF;1.17
C;A1;1;NF;4.43
C;A1;1;NF;0.67
C;A1;1;NF;3.35
C;A1;1;NF;4.3
C;A1;1;NF;1.57
C;A1;1;NF;4.77
C;A1;1;NF;6.57
C;A1;1;NF;0
C;A1;1;NF;2.1
C;A2;1;NF;4.67
C;A2;1;NF;5.33
C;A2;1;NF;5.67
C;A2;1;NF;4.27
C;A2;1;NF;5.5
C;A2;1;NF;4.33
C;A2;1;NF;6
C;A2;1;NF;4.17
C;A2;1;NF;3.67
C;A2;1;NF;5.67
C;A2;1;NF;8.67
C;A2;1;NF;3
C;A2;1;NF;5.33
C;A2;1;NF;5.83
C;A2;1;NF;6.33
C;A2;1;NF;5.5
C;A3;1;NF;5.8
C;A3;1;NF;5.8
C;A3;1;NF;8
C;A3;1;NF;9.33
C;A3;1;NF;6.37
C;A3;1;NF;6.13
C;A3;1;NF;5.8
C;A3;1;NF;5.8
C;A3;1;NF;9.33
C;A3;1;NF;6.37
C;A3;1;NF;5.8
C;A3;1;NF;7.7
C;A3;1;NF;7.5
C;A3;1;NF;8.87
C;A3;1;NF;6.37
C;A3;1;NF;9.2
C;A3;1;NF;7.7
C;A3;1;NF;5.8
C;A4;1;NF;1.37
C;A4;1;NF;2.33
C;A4;1;NF;5.83
C;A4;1;NF;0.67
C;A4;1;NF;6.5
C;A4;1;NF;2.6
C;A4;1;NF;5.67
C;A4;1;NF;2.33
C;A4;1;NF;5
C;A4;1;NF;1.33
C;A4;1;NF;0
C;A4;1;NF;1.97
C;A4;1;NF;2.67
C;A4;1;NF;3.5
C;A4;1;NF;5.17
C;A4;1;NF;5.67
C;A4;1;NF;0
C;A4;1;NF;0
E1;A1;1;NF;6.57
E1;A1;1;NF;5.97
E1;A1;1;NF;7.13
E1;A1;1;NF;5.4
E1;A1;1;NF;7.67
E1;A1;1;NF;8
E1;A1;1;NF;1.94
E1;A1;1;NF;2.27
E1;A1;1;NF;5.3
E1;A1;1;NF;7.13
E1;A1;1;NF;5.13
E1;A1;1;NF;7.4
E1;A2;1;NF;6.67
E1;A2;1;NF;7
E1;A2;1;NF;7.33
E1;A2;1;NF;6.83
E1;A2;1;NF;7.2
E1;A2;1;NF;7.33
E1;A2;1;NF;7
E1;A2;1;NF;8.5
E1;A2;1;NF;6.1
E1;A2;1;NF;8.93
E1;A2;1;NF;7.6
E1;A2;1;NF;8.73
E1;A2;1;NF;7.67
E1;A2;1;NF;7
E1;A3;1;NF;4.67
E1;A3;1;NF;7.37
E1;A3;1;NF;7.03
E1;A3;1;NF;7.97
E1;A3;1;NF;5.7
E1;A3;1;NF;8.37
E1;A3;1;NF;9.33
E1;A3;1;NF;8.17
E1;A3;1;NF;8.17
E1;A3;1;NF;9.83
E1;A3;1;NF;9.33
E1;A3;1;NF;7.7
E1;A3;1;NF;8.17
E1;A4;1;NF;1
E1;A4;1;NF;7.17
E1;A4;1;NF;5.67
E1;A4;1;NF;1.67
E1;A4;1;NF;3.33
E1;A4;1;NF;4.17
E1;A4;1;NF;3.33
E1;A4;1;NF;1.67
E2;A1;1;NF;7.91
E2;A1;1;NF;5.17
E2;A1;1;NF;0.51
E2;A1;1;NF;6.5
E2;A1;1;NF;6.05
E2;A1;1;NF;2.45
E2;A1;1;NF;6.46
E2;A1;1;NF;6.87
E2;A1;1;NF;7.4
E2;A1;1;NF;5.32
E2;A1;1;NF;2.07
E2;A1;1;NF;6.57
E2;A1;1;NF;6.3
E2;A1;1;NF;3.4
E2;A1;1;NF;7.06
E2;A1;1;NF;4.33
E2;A1;1;NF;4.9
E2;A1;1;NF;7.23
E2;A1;1;NF;8.4
E2;A1;1;NF;7.4
E2;A1;1;NF;6.81
E2;A1;1;NF;6.65
E2;A2;1;NF;5.33
E2;A2;1;NF;7
E2;A2;1;NF;8.6
E2;A2;1;NF;5.67
E2;A2;1;NF;7.53
E2;A2;1;NF;9
E2;A2;1;NF;6.53
E2;A2;1;NF;7.47
E2;A2;1;NF;7.5
E2;A2;1;NF;7.2
E2;A2;1;NF;5.67
E2;A2;1;NF;7.33
E2;A2;1;NF;7.37
E2;A2;1;NF;4.67
E2;A2;1;NF;6.2
E2;A2;1;NF;5.53
E2;A2;1;NF;6.1
